Problem Solving,Design,CS Skills,Test Enumeration,Communication,intervieweeId,interviewerId,Score,Interviewer Call,Final Call
-1,7,4,-1,-1,15,15,5.846153846,1,0
9,9,6,7,8,16,73,8.071428571,1,0
-1,-1,4,6,6,16,76,5.166666667,0,0
5,6,2,-1,-1,16,3,4.666666667,0,0
4,5,9,-1,2,16,14,5.125,0,0
6,7,-1,7,6,17,53,6.52173913,1,0
7,-1,9,3,5,17,10,6.4,1,0
5,2,-1,4,3,17,96,3.52173913,0,0
5,3,9,-1,-1,17,92,5.19047619,0,0
-1,9,5,9,6,18,73,7.55,1,1
-1,9,7,-1,3,18,29,7.25,1,1
8,9,8,7,2,18,78,7.5,1,1
-1,3,3,2,-1,18,65,2.764705882,0,1
2,9,7,-1,-1,19,13,5.857142857,1,1
7,-1,7,7,9,19,13,7.3,1,1
9,6,5,6,-1,19,57,6.76,1,1
6,2,5,-1,-1,19,11,4.238095238,0,1
3,2,-1,-1,-1,20,97,2.5,0,0
5,3,3,-1,-1,20,26,3.761904762,0,0
6,-1,2,3,7,20,5,4.55,0,0
9,5,2,8,3,20,94,5.821428571,1,0
4,8,2,-1,6,21,81,5.166666667,0,0
-1,4,4,-1,4,21,14,4,0,0
5,2,6,-1,9,21,84,4.708333333,0,0
-1,4,-1,6,6,21,93,4.933333333,0,0
-1,-1,6,9,3,22,70,6.25,1,0
-1,4,7,4,6,22,88,5.05,0,0
3,7,-1,-1,9,22,16,5.631578947,0,0
-1,2,-1,8,4,22,3,4,0,0
-1,4,4,2,-1,23,23,3.529411765,0,1
9,5,5,-1,9,23,47,6.833333333,1,1
9,6,4,7,6,23,97,6.642857143,1,1
6,6,8,5,7,23,77,6.321428571,1,1
2,-1,-1,3,2,24,35,2.266666667,0,0
4,9,-1,3,6,24,16,5.826086957,1,0
5,4,3,9,-1,24,24,4.92,0,0
2,9,-1,-1,2,24,56,4.947368421,0,0
9,8,-1,7,5,25,76,7.782608696,1,1
-1,7,9,-1,9,25,39,8,1,1
9,7,8,-1,-1,25,69,8,1,1
-1,6,-1,9,-1,25,67,7,1,1
4,-1,3,-1,-1,26,3,3.615384615,0,0
-1,6,-1,4,-1,26,44,5.333333333,0,0
9,6,-1,3,5,26,26,6.391304348,1,0
-1,2,-1,-1,9,26,35,3.909090909,0,0
-1,4,-1,-1,5,27,80,4.272727273,0,0
2,-1,2,-1,2,27,70,2,0,0
3,5,4,9,-1,27,58,4.8,0,0
-1,9,6,4,2,27,90,6.2,1,0
2,9,8,7,-1,28,25,6.24,1,1
6,9,6,-1,-1,28,38,7.142857143,1,1
-1,3,-1,9,-1,28,42,5,0,1
4,7,7,6,6,28,60,5.892857143,1,1
6,2,2,-1,-1,29,2,3.523809524,0,0
7,8,9,-1,6,29,16,7.625,1,0
3,7,9,-1,-1,29,87,5.952380952,1,0
6,2,-1,-1,2,29,88,3.684210526,0,0
2,-1,2,-1,5,30,69,2.5625,0,0
5,-1,9,6,6,30,54,6.35,1,0
4,5,4,-1,-1,30,55,4.380952381,0,0
-1,2,-1,9,4,30,72,4.266666667,0,0
5,-1,7,9,9,31,67,6.9,1,1
-1,6,-1,5,2,31,94,4.933333333,0,1
8,-1,-1,-1,2,31,5,6.363636364,1,1
6,4,-1,9,-1,31,9,5.8,1,1
3,3,7,8,7,32,55,4.857142857,0,0
8,-1,3,4,-1,32,34,5.588235294,0,0
-1,-1,6,-1,-1,32,47,6,1,0
6,8,-1,6,-1,32,4,6.8,1,0
-1,-1,2,6,-1,33,68,3.777777778,0,0
6,-1,2,2,8,33,24,4.5,0,0
-1,4,7,4,3,33,50,4.6,0,0
3,-1,-1,-1,3,33,25,3,0,0
5,6,8,3,-1,34,82,5.6,0,0
8,4,-1,-1,7,34,66,6.157894737,1,0
4,4,-1,-1,9,34,79,4.789473684,0,0
8,-1,-1,3,-1,34,71,6.333333333,1,0
-1,3,2,-1,-1,35,70,2.615384615,0,0
-1,-1,3,3,8,35,11,4.25,0,0
6,8,2,9,-1,35,40,6.32,1,0
2,-1,-1,4,-1,35,68,2.666666667,0,0
2,7,-1,-1,-1,36,85,4.5,0,0
-1,-1,-1,5,8,36,43,6.285714286,1,0
6,3,6,-1,-1,36,90,4.857142857,0,0
-1,-1,6,8,2,36,51,5.666666667,0,0
7,2,8,6,8,37,19,5.714285714,0,0
9,-1,4,5,5,37,23,6.35,1,0
-1,-1,-1,8,6,37,91,7.142857143,1,0
-1,-1,-1,3,-1,37,8,3,0,0
-1,-1,9,6,-1,38,28,7.666666667,1,0
2,-1,-1,4,3,38,83,2.733333333,0,0
6,-1,-1,6,7,38,57,6.2,1,0
-1,2,9,-1,8,38,84,5.3125,0,0
5,-1,2,5,6,39,13,4.4,0,0
-1,3,5,8,4,39,60,4.65,0,0
2,3,9,-1,8,39,4,4.541666667,0,0
-1,-1,5,7,9,39,15,6.666666667,1,0
-1,2,-1,7,4,40,43,3.733333333,0,0
3,3,8,6,8,40,11,4.857142857,0,0
-1,7,5,-1,3,40,65,5.625,0,0
-1,6,6,2,9,40,51,5.65,0,0
-1,7,6,3,-1,41,88,5.764705882,0,0
-1,-1,8,4,-1,41,48,6.222222222,1,0
-1,5,6,7,7,41,91,5.95,1,0
6,4,6,6,-1,41,22,5.36,0,0
2,4,4,3,-1,42,22,3.2,0,0
-1,7,3,5,-1,42,97,5.352941176,0,0
6,-1,4,7,3,42,84,5.25,0,0
4,-1,4,-1,3,42,93,3.8125,0,0
-1,-1,5,6,-1,43,38,5.444444444,0,0
9,4,6,-1,2,43,96,5.833333333,1,0
3,-1,3,-1,6,43,1,3.5625,0,0
-1,-1,-1,4,4,43,60,4,0,0
-1,4,-1,3,3,44,89,3.533333333,0,1
9,-1,3,7,-1,44,32,6.764705882,1,1
8,-1,3,-1,-1,44,22,6.076923077,1,1
-1,-1,-1,6,7,44,27,6.428571429,1,1
3,-1,-1,5,9,45,29,4.733333333,0,0
9,4,3,6,6,45,38,5.75,0,0
5,-1,6,9,8,45,50,6.5,1,0
7,-1,8,9,9,45,87,7.95,1,0
6,4,7,3,8,46,8,5.392857143,0,0
-1,-1,-1,3,-1,46,29,3,0,0
7,-1,8,-1,3,46,82,6.5625,1,0
-1,-1,7,5,8,46,27,6.583333333,1,0
-1,-1,9,-1,-1,47,51,9,1,1
6,-1,-1,7,8,47,9,6.666666667,1,1
6,8,7,6,-1,47,72,6.84,1,1
6,7,5,7,-1,47,20,6.28,1,1
5,-1,-1,9,-1,48,46,6.333333333,1,0
8,4,4,9,-1,48,19,6.08,1,0
-1,8,-1,3,3,48,6,5.666666667,0,0
6,5,6,2,9,48,17,5.464285714,0,0
7,3,-1,9,3,49,20,5.434782609,0,0
-1,3,5,-1,-1,49,62,3.769230769,0,0
-1,6,5,3,9,49,32,5.6,0,0
5,-1,-1,8,6,49,74,6,1,0
3,5,4,8,7,50,58,4.892857143,0,0
6,-1,-1,-1,9,50,64,6.818181818,1,0
7,-1,-1,-1,2,50,46,5.636363636,0,0
8,9,2,-1,2,50,70,6.333333333,1,0
4,3,-1,-1,-1,51,58,3.5,0,1
9,-1,5,5,7,51,91,6.9,1,1
8,9,5,-1,4,51,57,7.208333333,1,1
-1,7,-1,6,-1,51,35,6.666666667,1,1
3,3,9,-1,-1,52,84,4.428571429,0,0
4,9,2,6,-1,52,66,5.52,0,0
5,3,8,6,8,52,28,5.428571429,0,0
7,6,7,7,5,52,19,6.5,1,0
9,-1,2,4,9,53,60,6.25,1,1
8,6,4,4,-1,53,80,5.92,1,1
8,3,8,6,9,53,29,6.392857143,1,1
3,4,7,-1,3,53,52,4.166666667,0,1
5,7,9,-1,8,54,44,6.875,1,0
5,7,3,8,-1,54,59,5.72,0,0
4,3,3,7,-1,54,38,3.96,0,0
9,2,8,6,5,54,62,5.964285714,1,0
7,8,3,7,4,55,77,6.25,1,0
8,-1,3,-1,-1,55,97,6.076923077,1,0
-1,3,4,6,4,55,37,4,0,0
3,-1,6,2,-1,55,79,3.647058824,0,0
-1,5,-1,-1,7,56,43,5.545454545,0,0
-1,4,-1,-1,7,56,45,4.818181818,0,0
4,-1,7,6,6,56,66,5.45,0,0
3,-1,5,6,9,56,42,5,0,0
8,5,4,4,6,57,22,5.642857143,0,0
8,-1,7,2,-1,57,89,6.294117647,1,0
4,7,-1,5,9,57,43,5.869565217,1,0
5,3,9,-1,-1,57,45,5.19047619,0,0
4,-1,7,-1,-1,58,19,5.153846154,0,0
9,-1,5,3,-1,58,71,6.411764706,1,0
3,-1,-1,3,-1,58,69,3,0,0
7,8,4,7,-1,58,53,6.72,1,0
4,9,-1,9,9,59,58,7.260869565,1,0
2,5,-1,5,7,59,84,4.217391304,0,0
-1,4,2,-1,-1,59,100,3.230769231,0,0
9,3,2,9,-1,59,75,5.68,0,0
6,9,2,-1,-1,60,92,6.19047619,1,0
5,8,7,3,7,60,9,6.142857143,1,0
-1,-1,-1,4,-1,60,69,4,0,0
2,9,-1,4,6,60,10,5.304347826,0,0
4,8,-1,9,-1,61,10,6.6,1,0
9,4,8,7,-1,61,23,6.88,1,0
3,5,9,9,5,61,45,5.714285714,0,0
3,7,-1,3,7,61,8,4.913043478,0,0
5,-1,7,5,-1,62,3,5.588235294,0,0
9,7,-1,2,9,62,18,7.086956522,1,0
-1,7,-1,-1,-1,62,27,7,1,0
7,-1,3,-1,4,62,53,5.1875,0,0
4,2,-1,9,-1,63,95,4.2,0,0
-1,9,8,9,5,63,32,8.15,1,0
3,7,3,-1,4,63,54,4.458333333,0,0
3,9,3,7,6,63,92,5.607142857,0,0
-1,3,-1,6,-1,64,92,4,0,0
5,-1,-1,3,2,64,29,3.866666667,0,0
4,-1,8,-1,2,64,67,4.875,0,0
-1,-1,9,9,7,64,69,8.5,1,0
-1,9,6,6,-1,65,5,7.411764706,1,1
9,-1,-1,-1,9,65,91,9,1,1
3,-1,6,9,4,65,97,5.1,0,1
5,9,-1,-1,8,65,45,7.157894737,1,1
2,-1,-1,7,7,66,6,4.333333333,0,0
-1,7,8,-1,-1,66,22,7.384615385,1,0
-1,2,9,5,-1,66,39,4.764705882,0,0
8,5,5,2,5,66,22,5.428571429,0,0
4,-1,5,-1,6,67,22,4.6875,0,0
4,2,6,9,3,67,71,4.392857143,0,0
7,9,9,4,4,67,83,7.178571429,1,0
7,7,2,9,3,67,43,5.964285714,1,0
5,4,4,9,9,68,36,5.535714286,0,0
3,-1,9,3,4,68,22,4.65,0,0
3,6,2,4,5,68,67,4.035714286,0,0
7,-1,6,7,8,68,78,6.9,1,0
4,7,-1,-1,-1,69,39,5.5,0,0
6,-1,4,3,9,69,59,5.35,0,0
4,-1,-1,2,4,69,28,3.466666667,0,0
8,9,6,9,-1,69,63,8.08,1,0
7,5,-1,8,-1,70,98,6.4,1,0
7,4,3,5,6,70,89,5.035714286,0,0
-1,-1,8,-1,-1,70,98,8,1,0
2,-1,8,7,6,70,80,5.1,0,0
9,-1,-1,7,9,71,70,8.466666667,1,0
-1,2,8,5,-1,71,78,4.470588235,0,0
7,-1,-1,7,2,71,81,6,1,0
2,-1,6,4,3,71,66,3.55,0,0
-1,-1,6,6,5,72,78,5.75,0,0
7,3,6,2,7,72,39,4.964285714,0,0
4,3,-1,3,8,72,9,4,0,0
8,9,5,-1,-1,72,19,7.666666667,1,0
6,3,4,5,8,73,9,4.857142857,0,0
9,6,-1,2,4,73,31,6.086956522,1,0
7,8,4,-1,4,73,48,6.333333333,1,0
2,3,2,4,8,73,3,3.214285714,0,0
-1,8,5,-1,4,74,47,6.3125,1,0
2,3,9,4,3,74,91,3.928571429,0,0
5,8,-1,-1,5,74,33,6.263157895,1,0
4,3,6,-1,6,74,88,4.333333333,0,0
8,5,2,2,6,75,88,5,0,0
4,-1,-1,-1,9,75,14,5.363636364,0,0
-1,5,-1,3,4,75,11,4.266666667,0,0
-1,-1,7,7,-1,75,10,7,1,0
7,3,5,-1,-1,76,6,5,0,0
-1,8,8,2,3,76,13,6.05,1,0
3,-1,6,8,-1,76,53,5.058823529,0,0
-1,6,6,-1,6,76,24,6,1,0
-1,5,-1,-1,7,77,58,5.545454545,0,1
9,8,5,9,3,77,98,7.357142857,1,1
6,6,8,-1,7,77,54,6.541666667,1,1
2,8,8,9,3,77,56,5.892857143,1,1
-1,-1,3,5,5,78,52,4.166666667,0,0
9,2,3,3,2,78,77,4.321428571,0,0
6,6,-1,8,9,78,75,6.739130435,1,0
2,-1,-1,-1,2,78,11,2,0,0
4,2,6,9,-1,79,63,4.56,0,0
5,8,2,-1,-1,79,47,5.428571429,0,0
3,-1,5,-1,2,79,59,3.4375,0,0
-1,5,6,-1,3,79,41,4.9375,0,0
-1,-1,4,6,-1,80,46,4.888888889,0,1
-1,7,-1,5,-1,80,5,6.333333333,1,1
7,-1,7,5,9,80,33,6.9,1,1
9,4,-1,-1,6,80,80,6.421052632,1,1
5,8,-1,5,6,81,62,6.173913043,1,0
9,2,-1,7,-1,81,18,5.8,1,0
4,6,2,2,7,81,74,4.25,0,0
3,6,-1,-1,-1,81,84,4.5,0,0
6,3,3,9,-1,82,48,4.92,0,0
2,-1,-1,-1,-1,82,56,2,0,0
5,-1,3,5,2,82,56,4.05,0,0
-1,5,-1,7,-1,82,99,5.666666667,0,0
-1,-1,8,-1,6,83,19,7.25,1,1
8,-1,-1,6,2,83,44,6.266666667,1,1
3,9,6,2,6,83,80,5.428571429,0,1
9,2,-1,8,8,83,79,6.260869565,1,1
-1,9,5,9,2,84,16,6.95,1,1
5,-1,6,8,7,84,38,6.15,1,1
6,-1,-1,6,-1,84,94,6,1,1
6,-1,2,9,-1,84,70,5.529411765,0,1
2,9,5,-1,3,85,48,5.083333333,0,0
-1,2,-1,8,8,85,85,4.8,0,0
2,-1,2,-1,3,85,78,2.1875,0,0
2,-1,-1,7,3,85,33,3.533333333,0,0
7,-1,6,3,2,86,98,5.2,0,0
6,8,-1,7,-1,86,71,7,1,0
-1,5,-1,6,5,86,20,5.266666667,0,0
9,9,-1,2,-1,86,20,7.6,1,0
8,-1,-1,-1,-1,87,79,8,1,1
2,9,6,9,3,87,59,5.821428571,1,1
8,5,4,-1,-1,87,73,5.904761905,1,1
7,-1,4,-1,-1,87,35,5.846153846,1,1
7,-1,-1,8,4,88,35,6.666666667,1,1
-1,4,2,2,-1,88,64,2.941176471,0,1
9,6,8,3,9,88,61,7.107142857,1,1
4,6,8,-1,9,88,49,6.125,1,1
6,-1,2,4,3,89,36,4.15,0,0
-1,9,-1,2,-1,89,61,6.666666667,1,0
-1,6,6,9,3,89,49,6.15,1,0
2,-1,7,-1,-1,89,83,3.923076923,0,0
-1,3,-1,-1,-1,90,93,3,0,0
-1,4,9,2,6,90,13,5.15,0,0
-1,-1,9,-1,-1,90,69,9,1,0
-1,8,6,4,-1,90,88,6.470588235,1,0
8,5,-1,6,-1,91,12,6.4,1,1
-1,6,6,6,7,91,100,6.15,1,1
3,8,7,-1,6,91,59,5.875,1,1
-1,-1,-1,-1,-1,91,16,-1,0,1
9,5,4,-1,-1,92,77,6.285714286,1,1
8,9,2,7,-1,92,30,6.96,1,1
-1,8,-1,4,-1,92,51,6.666666667,1,1
-1,4,9,-1,7,92,92,6.125,1,1
-1,-1,6,8,4,93,99,6.166666667,1,1
4,-1,2,8,-1,93,36,4.352941176,0,1
-1,7,8,8,2,93,79,6.7,1,1
9,-1,8,-1,8,93,86,8.5,1,1
5,3,9,-1,6,94,58,5.291666667,0,0
5,4,-1,4,6,94,46,4.608695652,0,0
-1,8,3,6,8,94,76,6.35,1,0
6,6,2,3,4,94,57,4.642857143,0,0
-1,9,4,-1,8,95,45,7.25,1,1
7,7,3,9,-1,95,100,6.52,1,1
-1,8,8,-1,-1,95,19,8,1,1
5,9,-1,-1,4,95,19,6.526315789,1,1
-1,3,7,9,-1,96,62,5.588235294,0,0
9,6,-1,2,4,96,53,6.086956522,1,0
4,-1,-1,2,8,96,26,4.266666667,0,0
2,6,5,4,4,96,87,4.178571429,0,0
-1,-1,7,-1,-1,97,87,7,1,0
6,5,3,2,-1,97,91,4.44,0,0
7,-1,7,3,-1,97,21,6.058823529,1,0
6,5,3,-1,2,97,4,4.541666667,0,0
2,4,4,3,-1,98,90,3.2,0,0
9,4,8,2,-1,98,21,6.08,1,0
9,-1,8,8,-1,98,8,8.470588235,1,0
5,8,4,2,-1,98,53,5.28,0,0
-1,-1,2,5,5,99,71,3.75,0,0
5,-1,2,-1,5,99,58,4.0625,0,0
6,5,-1,5,8,99,82,5.739130435,0,0
4,-1,2,4,-1,99,25,3.411764706,0,0
5,6,4,3,4,100,84,4.714285714,0,0
3,-1,-1,8,-1,100,47,4.666666667,0,0
9,4,3,-1,-1,100,14,5.666666667,0,0
8,-1,-1,9,-1,100,24,8.333333333,1,0
4,-1,4,-1,5,101,26,4.1875,0,0
7,-1,9,-1,4,101,82,7.0625,1,0
-1,-1,-1,4,-1,101,43,4,0,0
5,9,4,9,5,101,70,6.535714286,1,0
-1,-1,4,4,-1,102,59,4,0,0
7,3,-1,-1,4,102,60,4.842105263,0,0
9,5,-1,7,-1,102,43,7,1,0
-1,6,-1,-1,-1,102,61,6,1,0
-1,7,3,8,-1,103,8,6.058823529,1,0
-1,6,2,7,7,103,79,5.35,0,0
6,4,3,5,2,103,14,4.321428571,0,0
4,9,3,8,-1,103,76,6.04,1,0
-1,4,-1,-1,8,104,93,5.090909091,0,0
2,3,-1,8,-1,104,32,3.6,0,0
8,3,8,2,6,104,63,5.5,0,0
-1,4,6,9,2,104,68,5.2,0,0
9,2,-1,-1,9,105,5,6.052631579,1,0
2,7,-1,-1,7,105,78,4.894736842,0,0
4,-1,7,-1,5,105,20,5.125,0,0
-1,-1,4,-1,7,105,56,5.125,0,0
-1,-1,-1,-1,-1,106,69,-1,0,0
7,8,7,3,-1,106,42,6.68,1,0
4,8,-1,4,4,106,52,5.391304348,0,0
2,9,2,7,-1,106,21,5.04,0,0
8,-1,2,8,6,107,62,6.2,1,1
3,-1,6,5,6,107,50,4.6,0,1
9,-1,8,6,3,107,50,7.25,1,1
8,6,6,3,-1,107,39,6.16,1,1
-1,6,-1,9,2,108,69,6,1,0
-1,3,8,6,-1,108,14,5.176470588,0,0
-1,-1,-1,7,5,108,85,6.142857143,1,0
3,-1,-1,2,5,108,71,3.133333333,0,0
3,-1,-1,2,4,109,23,2.933333333,0,0
6,3,-1,-1,2,109,96,4.105263158,0,0
2,5,-1,-1,7,109,73,4.052631579,0,0
5,-1,9,3,4,109,47,5.45,0,0
9,-1,3,9,6,110,11,7.05,1,1
-1,4,8,7,-1,110,46,5.882352941,1,1
8,-1,7,-1,4,110,26,6.9375,1,1
6,2,2,2,9,110,82,3.892857143,0,1
3,3,9,7,-1,111,78,4.84,0,0
8,4,-1,9,2,111,10,6,1,0
5,9,7,6,-1,111,29,6.84,1,0
6,6,-1,4,2,111,33,5.130434783,0,0
3,8,6,6,-1,112,41,5.68,0,1
8,5,8,-1,-1,112,3,6.857142857,1,1
-1,9,7,8,-1,112,44,8.176470588,1,1
9,6,8,-1,9,112,32,7.791666667,1,1
6,8,2,9,4,113,64,6.071428571,1,1
9,-1,-1,3,7,113,54,7,1,1
-1,5,8,9,3,113,23,6.25,1,1
4,2,6,-1,3,113,3,3.625,0,1
4,6,7,4,7,114,56,5.428571429,0,0
2,3,3,-1,3,114,75,2.666666667,0,0
2,5,-1,7,6,114,91,4.434782609,0,0
-1,9,4,3,2,114,52,5.5,0,0
3,8,9,-1,2,115,49,5.791666667,0,0
5,9,7,6,3,115,64,6.428571429,1,0
-1,7,8,2,3,115,67,5.65,0,0
7,5,5,8,9,115,86,6.428571429,1,0
8,-1,4,7,9,116,56,6.95,1,1
-1,8,9,2,9,116,46,7.2,1,1
8,8,4,6,-1,116,33,6.88,1,1
4,3,6,-1,9,116,34,4.708333333,0,1
-1,2,-1,4,5,117,45,3.133333333,0,0
-1,7,2,7,-1,117,65,5.529411765,0,0
5,4,7,-1,9,117,91,5.583333333,0,0
8,5,5,4,9,117,61,6.142857143,1,0
-1,9,-1,8,-1,118,14,8.666666667,1,0
3,3,8,-1,-1,118,96,4.19047619,0,0
7,-1,-1,3,3,118,80,5.133333333,0,0
3,9,-1,6,7,118,50,6.130434783,1,0
5,5,9,2,8,119,32,5.607142857,0,0
3,6,-1,8,-1,119,47,5.2,0,0
5,9,-1,-1,-1,119,68,7,1,0
5,5,7,2,7,119,51,5.142857143,0,0
-1,-1,4,-1,-1,120,28,4,0,0
7,9,-1,-1,4,120,38,7.368421053,1,0
7,4,4,4,2,120,69,4.642857143,0,0
5,9,9,-1,5,120,60,7.166666667,1,0
5,-1,7,-1,-1,121,100,5.769230769,0,0
2,7,7,8,6,121,74,5.607142857,0,0
6,9,-1,4,-1,121,10,6.8,1,0
8,5,9,-1,5,121,64,6.833333333,1,0
2,8,5,2,8,122,22,4.892857143,0,0
2,2,9,7,-1,122,24,4.2,0,0
-1,6,5,-1,-1,122,54,5.615384615,0,0
-1,8,7,8,3,122,32,7,1,0
-1,6,-1,3,2,123,51,4.4,0,0
6,-1,6,-1,7,123,70,6.1875,1,0
9,4,8,-1,-1,123,93,6.857142857,1,0
-1,-1,6,5,2,123,84,4.666666667,0,0
2,9,9,5,-1,124,30,6.12,1,0
-1,-1,4,3,5,124,27,3.916666667,0,0
6,5,2,2,3,124,23,4.107142857,0,0
-1,-1,6,-1,4,124,14,5.25,0,0
2,9,8,8,6,125,45,6.357142857,1,1
2,3,8,4,8,125,98,4.285714286,0,1
-1,-1,8,5,4,125,28,6,1,1
-1,8,9,3,9,125,36,7.4,1,1
5,-1,-1,6,7,126,73,5.666666667,0,1
8,-1,-1,8,7,126,15,7.8,1,1
5,6,5,-1,9,126,38,5.833333333,1,1
-1,6,8,-1,2,126,23,5.875,1,1
-1,-1,3,9,-1,127,14,5.666666667,0,0
8,2,2,5,5,127,33,4.464285714,0,0
9,9,5,7,-1,127,51,7.88,1,0
-1,8,-1,5,3,127,50,6.2,1,0
3,-1,9,-1,-1,128,23,5.307692308,0,0
5,5,7,9,4,128,95,5.821428571,1,0
5,-1,2,2,-1,128,64,3.411764706,0,0
-1,8,-1,7,-1,128,55,7.666666667,1,0
8,9,-1,7,2,129,72,7.391304348,1,0
-1,9,6,9,-1,129,87,8.117647059,1,0
4,3,8,-1,6,129,52,4.75,0,0
-1,3,4,-1,-1,129,92,3.384615385,0,0
7,7,-1,4,3,130,20,5.956521739,1,0
-1,-1,9,-1,5,130,93,7.5,1,0
4,7,-1,-1,2,130,11,4.947368421,0,0
6,4,-1,4,6,130,90,4.956521739,0,0
4,2,4,2,5,131,47,3.25,0,0
9,-1,7,-1,8,131,96,8.1875,1,0
7,5,2,-1,2,131,22,4.666666667,0,0
-1,4,-1,6,9,131,52,5.533333333,0,0
-1,-1,6,-1,9,132,76,7.125,1,0
-1,-1,-1,3,-1,132,52,3,0,0
-1,-1,-1,-1,-1,132,47,-1,0,0
6,9,2,-1,9,132,63,6.541666667,1,0
-1,6,4,8,8,133,39,6.2,1,0
7,4,4,3,8,133,78,5.142857143,0,0
-1,4,-1,-1,3,133,68,3.727272727,0,0
4,-1,7,-1,-1,133,42,5.153846154,0,0
4,-1,2,8,6,134,78,4.6,0,0
3,-1,8,-1,4,134,18,4.75,0,0
7,-1,-1,-1,-1,134,6,7,1,0
-1,-1,-1,9,-1,134,59,9,1,0
6,-1,4,8,9,135,51,6.35,1,0
2,-1,7,8,2,135,97,4.45,0,0
-1,-1,6,2,5,135,74,4.416666667,0,0
5,7,4,4,6,135,96,5.357142857,0,0
-1,-1,-1,9,-1,136,12,9,1,0
8,-1,3,3,5,136,29,5.3,0,0
5,-1,5,-1,2,136,30,4.4375,0,0
8,4,5,2,-1,136,56,5.16,0,0
9,8,-1,-1,3,137,30,7.631578947,1,1
-1,8,-1,-1,4,137,6,6.909090909,1,1
9,-1,-1,5,-1,137,14,7.666666667,1,1
5,5,-1,5,6,137,89,5.130434783,0,1
7,4,5,8,-1,138,34,5.8,1,0
6,2,5,7,2,138,65,4.392857143,0,0
-1,-1,-1,2,8,138,50,4.571428571,0,0
7,3,-1,4,9,138,58,5.347826087,0,0
2,4,2,3,-1,139,59,2.8,0,0
-1,9,-1,3,9,139,73,7.4,1,0
8,3,9,2,-1,139,23,5.64,0,0
-1,7,7,7,-1,139,58,7,1,0
-1,-1,3,2,-1,140,41,2.555555556,0,0
5,5,-1,-1,3,140,95,4.684210526,0,0
6,7,-1,-1,3,140,54,5.947368421,1,0
7,-1,5,-1,-1,140,16,6.230769231,1,0
-1,4,5,-1,-1,141,29,4.384615385,0,0
-1,7,-1,-1,3,141,53,5.909090909,1,0
5,9,-1,2,4,141,90,5.739130435,0,0
5,-1,8,5,5,141,78,5.75,0,0
4,8,3,4,-1,142,27,5.08,0,0
7,2,4,9,6,142,80,5.214285714,0,0
